job_listing_no,technical_skill
101,r
101,big data
101,data warehouse
101,math
101,science
102,artificial intelligence
102,biochemistry
102,biology
102,biotechnology
102,chemical engineering
102,consulting
102,data mining
102,development
102,excel
102,knowledge management
102,laboratory
102,manager
102,management
102,powerpoint
102,program manager
102,project
102,research
102,sales
103,python
103,matlab
103,r
103,reverse engineering
103,machine learning
103,hpc
103,big data
104,algorithms
104,artificial intelligence
104,biotechnology
104,data mining
104,diagnostic
104,foundation
104,hadoop
104,java
104,management
104,mathematical
104,matlab
104,modeling
104,mysql
104,mysql
104,nosql
104,oracle
104,physics
104,programming
104,python
104,research
104,sas
104,sales
104,sql
105,machine learning
105,data mining
105,python
105,hadoop
105,scala
105,spark
105,sql - machine learning
105,data mining
105,python
105,hadoop
105,scala
105,spark
105,sql
106,hadoop
106,python
106,numpy
106,pandas
106,matplotlib
106,d3js
106,tableau
106,machine learning
106,data mining - hadoop
106,python
106,numpy
106,pandas
106,matplotlib
106,d3js
106,tableau
106,machine learning
106,data mining
107,data scientist
107,hadoop
107,financial background
108,data scientist
109,data science
109,machine learning
110,algorithms
110,analysis
110,analyst
110,data analysis
110,foundation
110,genetic
110,management
110,programmer
110,project
110,validation
111,data scientist
111,machine learning
112,mandarin phd cs deep learning machine learning recommendation personalization nlp images computer vision python matlab c++ java caffe tensorflow torch cntk sql spark/hadoop
113,r- machine learning
113,statistics
113,data analysis
114,data science
114,marketing analytics
114,hadoop
114,r
115,iot
115,networking
115,nosql
116,data scientist
116,machine learning
116,personalization
116,algorithm development
116,phd
116,computer science degree
116,principal
116,lead
116,senior - data scientist
116,machine learning
116,personalization
116,algorithm development
116,phd
116,computer science degree
116,principal
116,lead
116,senior
117,six sigma certified
117,statistical & analytical skills.build dashboards & regression analysis
118,data science
118,python
119,data science
119,machine learning
119,python
119,r
119,longitudinal panel research - data science
119,machine learning
119,python
119,r
119,longitudinal panel research
120,machine-learning engineer
120,classification and clustering algorithms
120,data mining
120,scala
120,apache spark
120,datasets
120,mllib
120,r
120,tensorflow
120,clustering algorithms
120,salesforce
120,ibm watson
120,nosql
120,nlp
121,analysis
121,business intelligence
121,business objects
121,database
121,development
121,genetic
121,hadoop
121,manager
121,management
121,modeling
121,oracle
121,python
121,sales
121,sql
121,statistical analysis
121,testing
122,aws
122,data scientist
122,statistical/machine learning algorithms
122,predictive modeling
122,rails
122,sql
122,hipaa - aws
122,data scientist
122,statistical/machine learning algorithms
122,predictive modeling
122,rails
122,sql
122,hipaa
123,data science
123,sql
124,actuate
124,algorithm
124,algorithms
124,analysis
124,c++
124,data collection
124,development
124,hadoop
124,libraries
124,matlab
124,mongodb
124,networks
124,physics
124,programming
124,project
124,python
124,qa
124,release
124,research
124,video
125,big data
125,spark
125,scala
125,python
125,data scientist
125,nlp
126,algorithms
126,analysis
126,analytical skills
126,architecture
126,case
126,data analysis
126,database
126,development
126,management
126,modeling
126,networks
126,oracle
126,pl/sql
126,programmer
126,project
126,project management
126,risk management
126,sas
126,scheduling
126,scripts
126,security
126,sql
126,sql server
126,system architecture
126,teradata
126,testing
127,data scientist
127,big data
127,statistics
128,data scientist
129,machine learning
129,customer facing
129,spark
129,predictive modeling
129,industrial iot analytics
129,java/ scala
129,natural language processing (nlp)
129,deep learning - machine learning
129,customer facing
129,spark
129,predictive modeling
129,industrial iot analytics
129,java/ scala
129,natural language processing (nlp)
129,deep learning
130,
131,machine learning
131,python
131,r
131,mysql
131,telecom
132,statistical modeling
133,nlp
133,machine learning
133,java
134,analytical experiments; analytical tools
135,spark scala batch environment using tableau for visualizing the data.
136,python
136,machine learning
136,hadoop
136,aws
136,data mining - python
136,machine learning
136,hadoop
136,aws
136,data mining
137,data scientist
138,see job description
139,data scientist
140,data scientists
140,python
140,linux
140,sql
141,data science / predictive analytics / machine learning / predictive algorithms / r / python / sas / ruby / florida / linux / sql / shiny / numpy
142,algorithm
142,algorithms
142,analysis
142,case
142,data analysis
142,database
142,data collection
142,data mining
142,hadoop
142,iterative
142,java
142,metrics
142,modeling
142,programming
142,project
142,research
142,sas
142,security
142,statistical analysis
142,testing
142,use case
142,validation
143,gxp
143,pharma
143,cgmps
143,gamp
143,empower cds
144,data scientist data analyst mysql python
145,basic qualifications: * bachelors degree in a technical field: computer science
145,engineering or related discipline * 2+ years experience in t-sql and procedural programming * 2+ years
146,algorithms
146,analysis
146,analytical skills
146,architecture
146,case
146,data analysis
146,database
146,development
146,management
146,modeling
146,networks
146,oracle
146,pl/sql
146,programmer
146,project
146,project management
146,risk management
146,sas
146,scheduling
146,scripts
146,security
146,sql
146,sql server
146,system architecture
146,teradata
146,testing
147,python
147,r
147,dell-statistics
147,oracle pl/sql
147,crisp-dm
147,regression
147,glms
147,decision trees
147,ensemble modeling
147,clustering
147,svm
147,etc
148,r
148,python
148,data analyst
148,data scientist
148,devops
148,dba
148,models
148,mathematics
148,economics
148,statistics
149,data science (from industry)
149,machine learning algorithms
149,python
149,phenomenal written and oral communication - data science (from industry)
149,machine learning algorithms
149,python
149,phenomenal written and oral communication
150,
151,data scientist- r
151,python
151,big data-$140
151,000- charlotte
151,nc
152,r
152,sas
152,sql
152,data visualization platform (e.g. tableau)
152,data science - r
152,sas
152,sql
152,data visualization platform (e.g. tableau)
152,data science
153,data scientist
153,machine learning
153,six sigma
153,data analysis
153,data analyst
153,big data
153,hadoop
154,data
154,data scientist
154,python
154,r
154,scripting
155,algorithms
155,analysis
155,architecture
155,cissp
155,consulting
155,data mining
155,development
155,hadoop
155,hardware
155,java
155,management
155,mongodb
155,nosql
155,python
155,release
155,research
155,security
155,software engineer
155,sql
155,testing
155,xml
156,data scientist
156,data analysis
156,sas
156,database
157,quantitative analysis
157,predictive analytics
157,mathematical modeling
157,machine learning
157,r and or python
157,sql
158,python programming
158,r or scala scripting language
159,data science
159,big data
159,analytics
159,data mining
159,hadoop
159,data scientist
159,python
159,iot
159,visualization
159,business intelligence - data science
159,big data
159,analytics
159,data mining
159,hadoop
159,data scientist
159,python
159,iot
159,visualization
159,business intelligence
160,hadoop
161,algorithms
161,analysis
161,architecture
161,business requirements
161,case
161,data analysis
161,database
161,data mining
161,developer
161,development
161,java
161,javascript
161,mathematical
161,modeling
161,programming
161,python
161,research
161,sap
161,sql
162,data scientist
162,analytics
163,data scientist
163,python
163,scala
163,r
163,sas
163,hadoop
163,map reduce
163,nosql
164,data engineer
165,r
165,python
165,sql
165,sql
165,hadoop
165,algorithms
165,machine learning
165,data mining - r
165,python
165,sql
165,sql
165,hadoop
165,algorithms
165,machine learning
165,data mining
166,data science
166,python
166,scikit.learn
166,virtual environments
166,bayesian inference
166,machine learning algorithms
166,prior teaching experience (not essential) - data science
166,python
166,scikit.learn
166,virtual environments
166,bayesian inference
166,machine learning algorithms
166,prior teaching experience (not essential)
167,data scientist
167,quatitative techniques
167,statistical tools
167,python
167,r
167,sas spss mobile ecommerce industry experience
167,ph.d
168,data analytics
168,sql
168,redshift
168,r
168,hadoop
168,spark
168,aws
169,machine learning
169,data science
169,r
169,python
169,clustering algorithms
170,data science (from industry)
170,machine learning algorithms
170,python
170,phenomenal written and oral communication - data science (from industry)
170,machine learning algorithms
170,python
170,phenomenal written and oral communication
171,machine learning
171,python
171,data mining
171,r
171,phd preferred - machine learning
171,python
171,data mining
171,r
171,phd preferred
172,data scientist
172,spark
172,hadoop
172,python
172,java
172,r
172,matlab
172,sql and nosql
173,java
173,r
173,python
173,spark
173,mysql
173,redshift
173,mongodb
173,amazon web services
173,storm
173,netty - java
173,r
173,python
173,spark
173,mysql
173,redshift
173,mongodb
173,amazon web services
173,storm
173,netty
174,algorithms
174,analysis
174,analyst
174,business intelligence
174,consulting
174,data analysis
174,database
174,data mining
174,data modeling
174,excel
174,genetic
174,modeling
174,networks
174,powerpoint
174,research
174,sas
174,sales
174,sql
174,statistical analysis
175,data pipeline architecture
175,statistical analysis & programming
175,redshift
175,sql/r/matlab/python
175,data mining
175,data analytics & visualization
175,python
175,matlab
175,r - data pipeline architecture
175,statistical analysis & programming
175,redshift
175,sql/r/matlab/python
175,data mining
175,data analytics & visualization
175,python
175,matlab
175,r
176,data scientist
176,r
176,matlab
176,sql
176,scala
176,c#
176,java
177,"""data scientist"""
177,r
177,statistics
177,python
178,data scientist
178,data mining
178,statistical software
178,scripting
178,python
178,hadoop
178,oil & gas
178,ph.d
179,machine learning
179,python/r/matlab
179,big data
179,algorithms - machine learning
179,python/r/matlab
179,big data
179,algorithms
180,nlp
180,advanced analytics
180,model building
180,statistical modeling
180,optimization
180,machine learning algorithms
180,data manipulation
180,cloud computing and hadoop
181,senior machine-learning engineer to enrich online support website using machine learning and natural language processing to create a measurable difference for cos users
182,r
182,python
182,sql
182,sql
182,hadoop
182,algorithms
182,machine learning
182,data mining - r
182,python
182,sql
182,sql
182,hadoop
182,algorithms
182,machine learning
182,data mining
183,algorithms
183,analysis
183,architecture
183,cissp
183,consulting
183,data mining
183,development
183,hadoop
183,hardware
183,java
183,management
183,mongodb
183,nosql
183,python
183,release
183,research
183,security
183,software engineer
183,sql
183,testing
183,xml
184,data science
184,big data
184,analytics
184,data mining
184,hadoop
184,data scientist
184,python
184,iot
184,visualization
184,business intelligence - data science
184,big data
184,analytics
184,data mining
184,hadoop
184,data scientist
184,python
184,iot
184,visualization
184,business intelligence
185,algorithms
185,analysis
185,apache
185,a/v
185,hadoop
185,php
185,programming
185,security
185,video
186,data assimilation
186,3d variance
186,4d variance
186,satellite radiance assimilation
186,python
186,linux
186,fortran-90
186,gsi
186,machine learning - data assimilation
186,3d variance
186,4d variance
186,satellite radiance assimilation
186,python
186,linux
186,fortran-90
186,gsi
186,machine learning
187,* knowledge of databases (e.g writing sql scripts).scripts
187,statistics & business intelligence: r
187,r studio
187,* expert with excel
187,powerpoint
187,powerpivot
187,powerbi and other reporting tools.  * prior ex
188,agile
188,analysis
188,cisco
188,data analysis
188,data mining
188,data modeling
188,development
188,encryption
188,hadoop
188,java
188,javascript
188,jenkins
188,linux
188,modeling
188,research
188,security
188,unix
189,algorithms
189,analysis
189,analyst
189,business intelligence
189,business requirements
189,database
189,hadoop
189,java
189,management
189,modeling
189,programming
189,python
189,research
189,sql
189,teradata
189,testing
190,machine learning
190,java
190,python
190,c++
190,git/bitbucket
191,see job description
192,analysis
192,modeling
192,programming
192,python
193,machine learning
193,analytics
193,data visualization - machine learning
193,analytics
193,data visualization
194,data scientist
194,r
194,matlab
194,python
194,data science
194,data analytics
195,data scientist
195,operations research
195,statistics
195,c++
195,r
195,python
196,data scientist
196,java background
196,analyzing data
196,developing algorithms and making values out of data
197,algorithm
197,algorithms
197,analysis
197,architecture
197,data analysis
197,development
197,foundation
197,hadoop
197,java
197,mathematical
197,mathematical models
197,modeling
197,physics
197,python
198,machine learning
198,algorithms
198,financial statements
198,regression analysis
198,cluster analysis
198,r
198,sql
198,data mining
198,ph.d - machine learning
198,algorithms
198,financial statements
198,regression analysis
198,cluster analysis
198,r
198,sql
198,data mining
198,ph.d
199,data scientist
199,machine learning
199,personalization
199,algorithm development
199,phd
199,computer science degree
199,principal
199,lead
199,senior - data scientist
199,machine learning
199,personalization
199,algorithm development
199,phd
199,computer science degree
199,principal
199,lead
199,senior
200,algorithms
200,analysis
200,matlab
200,modeling
200,programming
200,python
200,research
200,scientific
201,python
201,r
201,matlab
201,wireless data scientist
201,machine language
201,spark
201,hadoop
201,device analytics
201,text mining
202,data scientist
202,data
202,video platform
202,mathematics
202,math
202,statistics
202,machine learning
202,algorithms
202,statistical testing
202,regression
202,data visualization
202,query
202,nosql
202,scripting
202,programming
203,data scientist who has exp with sas
203,etl
203,data processing
203,database programming and data analytics
204,data science
204,python
204,scikit.learn
204,virtual environments
204,bayesian inference
204,machine learning algorithms
204,prior teaching experience (not essential) - data science
204,python
204,scikit.learn
204,virtual environments
204,bayesian inference
204,machine learning algorithms
204,prior teaching experience (not essential)
205,r programming
206,machine learning
206,phd
206,field analysis
206,python/r
206,matlab/sas - machine learning
206,phd
206,field analysis
206,python/r
206,matlab/sas
207,
208,spss
208,r
208,shiny
208,rstudio
208,eventflow
208,text analysis software
208,tableau
209,machine learning
209,java
209,scala
209,spark
209,python
209,data mining - machine learning
209,java
209,scala
209,spark
209,python
209,data mining
210,machine learning
210,python
210,r
210,hadoop - machine learning
210,python
210,r
210,hadoop
211,machine learning
211,python/r
211,sql
211,bi reporting
211,tableau
211,obiee
211,business objects
211,congos
211,micro strategy
211,sas - machine learning
211,python/r
211,sql
211,bi reporting
211,tableau
211,obiee
211,business objects
211,congos
211,micro strategy
211,sas
212,machine learning or data science
212,deep learning
212,natural language processing
212,phd
213,android google analytics
214,5+ years of relevant work experience
215,analysis
215,analyst
215,business intelligence
215,business requirements
215,java
215,modeler
215,modeling
215,programming
215,python
215,research
215,sql
215,teradata
216,data science
216,hands on leadership
216,machine learning
216,statistical analysis
216,python - data science
216,hands on leadership
216,machine learning
216,statistical analysis
216,python
217,masters degree in statistics
217,mathematics
217,informatics
217,machine learning
217,computer science
217,epidemiology or a related field.  5-8 years of experience with data analytics
218,.net
218,algorithms
218,analysis
218,development
218,libraries
218,mathematical
218,modeling
218,mongodb
218,networks
218,nosql
218,research
218,sales
218,sql
218,testing
219,algorithm
219,algorithms
219,business requirements
219,development
219,hadoop
219,management
219,matlab
219,research
219,sas
219,scientific
219,supervision
220,data scientist
220,data scientist
220,data scientist
220,r
220,r
220,python
220,python
220,sql
220,sql
220,unix
220,unix
220,data scientist
220,data scientist
220,data scientist
221,machine learning
221,data scientist
221,hadoop
221,big data
221,spark
221,ph.d
221,r
221,python
221,java
222,sas
222,python
222,java
222,or c++
223,technical manager
223,it manager
223,data scientist
223,
224,data scientist
224,machine learning
224,r
224,python
224,sparks
224,predictive model
224,algorithm
225,machine learning
225,python
225,data mining
225,hadoop
225,scala
225,spark
225,sql - machine learning
225,python
225,data mining
225,hadoop
225,scala
225,spark
225,sql
226,machine learning algorithms
226,data analysis
226,statistical modeling
226,distributed computing
226,data structures
226,sql
226,java
226,python
226,hadoop
226,spark - machine learning algorithms
226,data analysis
226,statistical modeling
226,distributed computing
226,data structures
226,sql
226,java
226,python
226,hadoop
226,spark
227,data curation
227,data integration
227,automated
227,scalable data connection
227,machine learning
227,data preparation
227,data unification
228,data engineer
228,hadoop
228,big data
229,machine learning
229,data mining
229,hadoop
229,python
229,data injestion - machine learning
229,data mining
229,hadoop
229,python
229,data injestion
230,tcp/ip
230,machine learning
230,data mining
230,hadoop/ hive/ cassandra/ storm/ or spark
230,information retrieval
230,regression
230,support vector machines
230,optimization - tcp/ip
230,machine learning
230,data mining
230,hadoop/ hive/ cassandra/ storm/ or spark
230,information retrieval
230,regression
230,support vector machines
230,optimization
231,data scientist
231,mle/qmle
231,gmm
231,ols/gls
231,arima
231,dlm's
231,var's
231,r
231,jmp
231,stata
231,spss
231,sas
231,matlab
231,python
231,map/reduce
231,hadoop
231,hive
232,sql
232,r
232,python
232,spark hive
232,mathlab
232,putty
232,aws
232,google cloud
232,tensorflow
232,pandas
232,mlib
233,data scientist
233,hadoop
233,python
233,machine learning
233,aviation - data scientist
233,hadoop
233,python
233,machine learning
233,aviation
234,algorithms
234,analysis
234,data mining
234,development
234,management
234,modeling
234,programming
234,project
234,project management
234,sas
234,sql
235,data mining
235,data analysis
235,applied operations research
235,optimization/pricing
235,econometrics
235,statistics - data mining
235,data analysis
235,applied operations research
235,optimization/pricing
235,econometrics
235,statistics
236,analysis
236,analyst
236,business intelligence
236,data analysis
236,database
236,development
236,excel
236,lifecycle
236,management
236,modeling
236,modeling software
236,quality assurance
236,sql
236,testing
237,data scientist and sql and quantitative data analysis and statistical and r/sas/stata and tableau
237,map reduce and tableau
237,map reduce
238,r
238,data scientist
238,metlab
238,nlp
238,java
238,scala
238,metlab
239,data scientist
239,ssas
239,python
239,data visualization
239,mdx
239,cubes
239,analytical models - data scientist
239,ssas
239,python
239,data visualization
239,mdx
239,cubes
239,analytical models
240,analysis
240,apache
240,bioinformatics
240,biology
240,biomedical
240,consulting
240,data mining
240,development
240,foundation
240,genetics
240,java
240,management
240,programming
240,python
240,research
240,scientific
240,security
240,statistical analysis
241,business intelligence
241,scripting
241,big data technologies - business intelligence
241,scripting
241,big data technologies
242,machine learning data scientist mining algorithms statistical predictive data text modeling nlp python ruby
243,data scientist
243,bigdata
243,"""big data"""
243,statistical
243,"""machine learning"""
243,sas
243,r
243,scripting
